X,Y,park_name,dpp_asset_id,program_type,site_class,building,gym,label_number,comments,data_source,objectid
-8366604.59657268,4857424.81149351,Walter Palumbo Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,24
-8373119.53507198,4857640.64549583,Kingsessing Recreation Center,,PPR_REC,A,Y,Y,,Rebuild complete 10/2025,Programs 10/2025,25
-8375056.54202371,4858518.61903254,Albert W Christy Sr Recreation Center,,PPR_REC,A,Y,Y,,,Programs 10/2025,26
-8364931.72494937,4860530.78670462,Northern Liberties Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,27
-8372986.48887635,4860999.87098433,Tiffany Fletcher Recreation Center,,PPR_REC,A,Y,N,,Former name Mill Creek Playground and Recreation Center (12/2022).,Programs 10/2025,28
-8367656.67343238,4860961.91599405,Roberto Clemente Playground,,PPR_REC,B,Y,N,, ,Programs 10/2025,29
-8370738.3267504,4861217.5369559,Miles Mack Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,30
-8376835.76165334,4861490.5602982,Cobbs Creek Park,,PPR_REC,B,Y,N,,Located within Cobbs Creek Park,Programs 10/2025,31
-8367566.55749149,4861365.16924474,Francisville Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,32
-8377493.04476368,4862231.29842066,Morris Park,,PPR_REC,A,Y,N,,Located in Morris Park.,Programs 10/2025,33
-8363188.90725625,4861852.72228127,Fishtown Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,34
-8365141.87701613,4862053.69455132,Narcissa S Cruz Recreation Center,,PPR_REC,A,Y,N,,Two Programmable Buildings on site.,Programs 10/2025,35
-8374355.12474414,4862385.06629747,Conestoga Community Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,36
-8363693.49297504,4862682.42015218,Dan Shissler Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,37
-8375757.40253024,4863307.64224214,Ernest L Tustin Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,38
-8367880.70328084,4863154.98164072,Dr Martin Luther King Jr Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,39
-8374185.19566676,4863510.20873821,West Fairmount Park,,PPR_REC,A,Y,N,,Located within West Fairmount Park.,Programs 10/2025,40
-8366806.27827848,4863285.74042349,Fletcher B Amos Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,41
-8362145.52102726,4863183.14226301,Frederick Cione Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,42
-8365375.91829118,4863506.64976471,8th and Diamond Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,43
-8361491.59308754,4863636.16131769,Cohocksink Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,44
-8368425.85877238,4864139.06092452,Eric W (Hank) Gathers Jr Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,45
-8359759.83404175,4864588.92217597,Bernard Samuel Playground,,PPR_REC,A,Y,Y,, ,Programs 10/2025,46
-8365635.98590344,4865479.69330116,12th and Cambria Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,47
-8359944.21891725,4865608.79002027,Robert T Heitzman Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,48
-8364281.61709653,4866007.31399085,Ramonita Negron Rivera Recreation and Community Center,,PPR_REC,A,Y,Y,,2024 Rebuild Renovations Complete.,Programs 10/2025,49
-8362492.53907416,4865966.90533305,Sergeant John J McVeigh Recreation Center,,PPR_REC,A,Y,Y,,Closed for Rebuild,Programs 10/2025,50
-8356552.39700725,4865873.03007031,Bridesburg Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,51
-8363348.0951691,4866210.64069719,John (Steve) Schmidt Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,52
-8361024.440694,4866154.10448726,Joseph A Scanlon Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,53
-8366928.8008254,4866849.36251956,Jerome Brown Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,54
-8371625.20584999,4867883.33105235,Gustine Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,55
-8357100.59743822,4867558.51126509,Carmella A DiTizio Playground,,PPR_REC,A,Y,N,,renovations completed 2025.,Programs 10/2025,56
-8359745.625613,4867802.18965309,Boniface Piccoli Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,57
-8364953.19471611,4868509.22602306,Hunting Park,,PPR_REC,A,Y,Y,, ,Programs 10/2025,58
-8355004.18175208,4868620.08218171,American Legion Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,59
-8362423.91794972,4869084.47369281,Feltonville Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,60
-8359328.39524725,4869071.24418153,Private Alfred J Simpson Memorial Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,61
-8354369.16089945,4869040.03327856,Frank JG Dorsey Memorial Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,62
-8365917.48866824,4869502.95258165,Stenton Park,,PPR_REC,A,Y,N,, ,Programs 10/2025,63
-8357882.053745,4869464.81168975,Joseph C McIlvain Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,64
-8372489.53360533,4870132.42076839,W Freeland Kendrick Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,65
-8354999.15557559,4869695.22248141,Franklin Delano Roosevelt Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,66
-8354434.87619034,4870030.15807669,Joseph F Vogt Playground,,PPR_REC,A,Y,Y,, ,Programs 10/2025,67
-8353865.18685115,4870067.59915544,Disston Recreation Center,,PPR_REC,A,Y,Y,,Rebuild complete 10/2025,Programs 10/2025,68
-8355781.66612038,4870213.98030819,Lower Mayfair Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,69
-8359389.74709233,4870259.83078468,Edward Houseman Playground,,PPR_REC,A,Y,Y,, ,Programs 10/2025,70
-8364065.00803173,4870488.463696,John L Barrett Playground,,PPR_REC,A,Y,N,,Closed for Rebuild,Programs 10/2025,71
-8366802.55251468,4870648.39547661,Wister Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,72
-8374463.67763917,4870877.19606451,Lonnie Cohen Recreation Center,,PPR_REC,A,Y,Y,,"Formerly Hillside, name changed 2023.",Programs 10/2025,73
-8352682.64748898,4870312.43726603,Charles A Russo Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,74
-8362106.54214134,4870900.31735915,Charles J Ziehler Playground,,PPR_REC,A,Y,N,,2024 Rebuild Renovations Complete,Programs 10/2025,75
-8364190.45029231,4871510.2333784,A Albert Cherashore Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,76
-8351983.06768112,4871189.80289163,Holmesburg Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,77
-8356797.38007568,4871573.63530919,Max Myers Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,78
-8366361.41393243,4872072.75544398,Belfield Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,79
-8358110.22611619,4871861.68663001,Seymour Tarken Recreation Center,,PPR_REC,A,Y,N,,Tarkan Ice Rink is a separate buliding on the same site.,Programs 10/2025,80
-8354871.0235749,4871739.46983798,Mayfair Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,81
-8361971.75907491,4872125.79244089,Olney Recreation Center,,PPR_REC,A,Y,Y,,Closed for Rebuild ,Programs 10/2025,82
-8367739.90089621,4872545.10670679,Donna Reed Miller Park,,PPR_REC,A,Y,Y,,Closed for Renovations. 1/2026-Park was renamed.,"Programs 10/2025; GIS 2026",83
